地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2026/06/16,19:46:33.8,茨城県南部,36°06.7′N,139°52.5′E,50 km,5.5,震度５弱
2026/05/20,11:46:25.7,沖縄本島近海,27°26.6′N,128°34.5′E,50 km,5.9,震度５強
2026/05/15,20:22:02.0,宮城県沖,38°54.2′N,142°05.8′E,46 km,6.4,震度５弱
2026/04/27,05:23:56.4,十勝地方南部,42°40.2′N,143°04.5′E,83 km,6.2,震度５強
2026/04/20,16:52:58.0,三陸沖,39°50.5′N,143°09.4′E,19 km,7.7,震度５強
2026/04/18,14:54:30.6,長野県北部,36°34.3′N,137°51.3′E,9 km,5.1,震度５弱
2026/04/18,13:20:05.4,長野県北部,36°34.8′N,137°51.0′E,8 km,5.0,震度５強
2026/04/01,10:06:18.2,茨城県南部,36°06.2′N,139°59.5′E,48 km,5.0,震度５弱
2026/01/06,10:28:48.6,島根県東部,35°19.0′N,133°14.0′E,12 km,5.1,震度５弱
2026/01/06,10:18:48.4,島根県東部,35°18.9′N,133°12.8′E,11 km,6.4,震度５強
2025/12/08,23:15:10.1,青森県東方沖,40°58.0′N,142°17.2′E,54 km,7.5,震度６強
2025/11/25,18:01:16.5,熊本県阿蘇地方,32°59.8′N,131°06.4′E,9 km,5.8,震度５強
2025/10/25,01:40:09.7,根室半島南東沖,42°55.9′N,145°37.0′E,40 km,5.8,震度５弱
2025/09/17,21:55:02.3,トカラ列島近海,29°35.1′N,129°43.1′E,1 km,4.7,震度５弱
2025/07/07,00:12:07.8,トカラ列島近海,29°20.9′N,129°28.5′E,22 km,5.1,震度５弱
2025/07/06,14:07:03.9,トカラ列島近海,29°21.8′N,129°30.7′E,23 km,5.5,震度５強
2025/07/06,14:01:21.3,トカラ列島近海,29°20.9′N,129°30.3′E,21 km,4.9,震度５強
2025/07/05,06:29:39.5,トカラ列島近海,29°20.1′N,129°28.2′E,19 km,5.4,震度５強
2025/07/03,16:13:01.3,トカラ列島近海,29°21.4′N,129°31.3′E,20 km,5.5,震度６弱
2025/07/02,15:26:47.6,トカラ列島近海,29°15.4′N,129°03.1′E,1 km,5.6,震度５弱
2025/07/02,04:32:08.3,トカラ列島近海,29°20.1′N,129°29.1′E,16 km,5.1,震度５弱
2025/06/30,18:33:22.8,トカラ列島近海,29°19.6′N,129°26.3′E,22 km,5.3,震度５弱
2025/04/18,20:19:28.6,長野県北部,36°28.1′N,137°54.8′E,13 km,5.1,震度５弱
2025/01/23,02:49:28.2,福島県会津,36°58.6′N,139°22.8′E,4 km,5.2,震度５弱
2025/01/13,21:19:32.8,日向灘,31°49.7′N,131°34.2′E,36 km,6.6,震度５弱
2024/11/26,22:47:02.8,石川県西方沖,37°00.5′N,136°23.8′E,7 km,6.6,震度５弱
2024/08/19,00:50:46.7,茨城県北部,36°43.0′N,140°37.2′E,8 km,5.1,震度５弱
2024/08/09,19:57:38.2,神奈川県西部,35°24.6′N,139°09.6′E,13 km,5.3,震度５弱
2024/08/08,16:42:55.5,日向灘,31°44.2′N,131°43.3′E,31 km,7.1,震度６弱
2024/06/03,06:31:40.3,石川県能登地方,37°28.0′N,137°18.1′E,14 km,6.0,震度５強
2024/04/17,23:14:48.7,豊後水道,33°12.0′N,132°24.5′E,39 km,6.6,震度６弱
2024/04/08,10:25:28.8,大隅半島東方沖,31°35.4′N,131°28.6′E,39 km,5.1,震度５弱
2024/04/02,04:24:39.0,岩手県沿岸北部,40°08.0′N,141°42.7′E,71 km,6.0,震度５弱
2024/03/21,09:08:03.8,茨城県南部,36°02.9′N,139°53.2′E,46 km,5.3,震度５弱
2024/03/15,00:14:36.0,福島県沖,37°04.3′N,141°09.8′E,50 km,5.8,震度５弱
2024/01/16,18:42:15.8,石川県能登地方,37°11.1′N,136°45.1′E,3 km,4.8,震度５弱
2024/01/09,17:59:11.4,佐渡付近,37°54.6′N,137°45.8′E,27 km,6.1,震度５弱
2024/01/06,23:20:23.0,能登半島沖,37°10.3′N,136°38.7′E,5 km,4.3,震度６弱
2024/01/06,05:26:51.6,石川県能登地方,37°13.0′N,136°49.9′E,12 km,5.4,震度５強
2024/01/03,10:54:35.0,石川県能登地方,37°22.4′N,136°52.3′E,13 km,5.6,震度５強
2024/01/03,02:21:48.0,石川県能登地方,37°28.9′N,137°18.2′E,12 km,4.9,震度５強
2024/01/02,17:13:40.8,能登半島沖,37°08.3′N,136°38.0′E,6 km,4.6,震度５強
2024/01/02,10:17:32.6,石川県能登地方,37°13.3′N,136°43.3′E,10 km,5.6,震度５弱
2024/01/01,20:35:40.8,石川県能登地方,37°09.2′N,136°45.4′E,2 km,4.5,震度５弱
2024/01/01,18:39:59.7,能登半島沖,37°06.4′N,136°38.8′E,6 km,4.8,震度５弱
2024/01/01,18:08:18.4,能登半島沖,37°34.7′N,137°22.9′E,14 km,5.8,震度５強
2024/01/01,18:03:50.1,能登半島沖,37°35.5′N,137°24.4′E,14 km,5.5,震度５弱
2024/01/01,17:22:11.4,石川県能登地方,37°27.9′N,137°12.3′E,12 km,4.9,震度５弱
2024/01/01,16:56:48.7,石川県能登地方,37°15.7′N,136°51.4′E,14 km,5.8,震度５強
2024/01/01,16:20:20.0,詳細不明,37°10.0′N,136°41.0′E,0 km,不明,震度５弱
2024/01/01,16:18:42.6,石川県能登地方,37°11.9′N,136°49.1′E,11 km,6.1,震度５強
2024/01/01,16:16:57.9,石川県能登地方,37°25.4′N,137°12.5′E,13 km,5.0,震度５弱
2024/01/01,16:12:30.6,能登半島沖,37°44.2′N,137°24.0′E,8 km,5.9,震度６弱
2024/01/01,16:10:22.5,石川県能登地方,37°29.7′N,137°16.2′E,16 km,7.6,震度７
2024/01/01,16:06:06.1,石川県能登地方,37°30.6′N,137°14.7′E,12 km,5.5,震度５強
2023/06/11,18:54:44.6,苫小牧沖,42°33.5′N,141°54.9′E,136 km,6.2,震度５弱
2023/05/26,19:03:23.9,千葉県東方沖,35°38.4′N,140°40.3′E,50 km,6.2,震度５弱
2023/05/22,16:42:41.2,新島・神津島近海,34°28.5′N,139°13.0′E,11 km,5.3,震度５弱
2023/05/13,16:10:27.7,トカラ列島近海,29°55.6′N,130°00.9′E,12 km,5.1,震度５弱
2023/05/11,04:16:41.9,千葉県南部,35°10.2′N,140°11.1′E,40 km,5.2,震度５強
2023/05/05,21:58:04.1,能登半島沖,37°31.5′N,137°14.1′E,14 km,5.9,震度５強
2023/05/05,14:42:04.1,能登半島沖,37°32.3′N,137°18.2′E,12 km,6.5,震度６強
2023/02/25,22:27:43.6,釧路沖,42°45.3′N,145°04.5′E,63 km,6.0,震度５弱
2022/11/09,17:40:12.5,茨城県南部,36°11.1′N,140°01.6′E,51 km,4.9,震度５強
2022/10/21,15:19:46.3,福島県沖,37°23.9′N,141°18.3′E,29 km,5.0,震度５弱
2022/10/02,00:02:32.8,大隅半島東方沖,31°18.7′N,131°31.3′E,29 km,5.9,震度５弱
2022/08/11,00:53:00.1,上川地方北部,44°50.9′N,142°06.7′E,5 km,5.4,震度５強
2022/08/11,00:35:20.0,上川地方北部,44°51.2′N,142°06.8′E,2 km,5.2,震度５弱
2022/06/26,21:44:48.4,熊本県熊本地方,32°32.4′N,130°41.1′E,9 km,4.7,震度５弱
2022/06/20,10:31:34.4,石川県能登地方,37°31.3′N,137°19.3′E,14 km,5.0,震度５強
2022/06/19,15:08:07.5,石川県能登地方,37°30.9′N,137°16.5′E,13 km,5.4,震度６弱
2022/05/22,12:24:11.3,茨城県沖,36°46.4′N,141°24.2′E,5 km,6.0,震度５弱
2022/04/19,08:16:00.3,茨城県北部,36°52.6′N,140°20.8′E,93 km,5.4,震度５弱
2022/03/18,23:25:16.3,岩手県沖,39°59.4′N,142°00.2′E,18 km,5.6,震度５強
2022/03/16,23:36:32.6,福島県沖,37°41.8′N,141°37.3′E,57 km,7.4,震度６強
2022/03/16,23:34:27.0,福島県沖,37°40.8′N,141°36.3′E,57 km,6.1,震度５弱
2022/01/22,01:08:37.5,日向灘,32°42.9′N,132°04.3′E,45 km,6.6,震度５強
2022/01/04,06:08:51.5,父島近海,27°03.9′N,142°06.8′E,77 km,6.1,震度５強
2021/12/09,11:05:08.0,トカラ列島近海,29°20.5′N,129°27.0′E,14 km,6.1,震度５強
2021/12/03,09:28:28.9,紀伊水道,33°48.0′N,135°08.8′E,18 km,5.4,震度５弱
2021/12/03,06:37:48.5,山梨県東部・富士五湖,35°33.2′N,138°59.4′E,19 km,4.8,震度５弱
2021/10/07,22:41:23.0,千葉県北西部,35°35.4′N,140°06.2′E,75 km,5.9,震度５強
2021/10/06,02:46:02.3,岩手県沖,40°00.4′N,142°15.2′E,56 km,5.9,震度５強
2021/09/16,18:42:30.2,石川県能登地方,37°30.3′N,137°18.0′E,13 km,5.1,震度５弱
2021/05/01,10:27:26.9,宮城県沖,38°10.4′N,141°44.4′E,51 km,6.8,震度５強
2021/03/20,18:09:44.8,宮城県沖,38°28.0′N,141°37.6′E,59 km,6.9,震度５強
2021/03/15,00:25:59.3,和歌山県北部,34°01.7′N,135°14.8′E,4 km,4.6,震度５弱
2021/02/13,23:07:50.5,福島県沖,37°43.7′N,141°41.9′E,55 km,7.3,震度６強
2020/12/21,02:23:21.5,青森県東方沖,40°46.9′N,142°41.5′E,43 km,6.5,震度５弱
2020/12/18,18:09:56.6,新島・神津島近海,34°29.2′N,139°18.2′E,11 km,5.0,震度５弱
2020/12/12,16:18:54.3,岩手県沖,40°05.6′N,142°06.5′E,48 km,5.6,震度５弱
2020/11/22,19:05:53.9,茨城県沖,36°35.4′N,141°06.0′E,45 km,5.7,震度５弱
2020/09/04,09:10:53.3,福井県嶺北,36°06.9′N,136°11.3′E,7 km,5.0,震度５弱
2020/06/25,04:47:44.4,千葉県東方沖,35°33.2′N,141°06.7′E,36 km,6.1,震度５弱
2020/03/13,02:18:46.7,石川県能登地方,37°16.7′N,136°49.4′E,12 km,5.5,震度５強
2019/12/19,15:21:33.4,青森県東方沖,40°30.7′N,142°10.7′E,50 km,5.5,震度５弱
2019/12/12,01:09:49.5,宗谷地方北部,45°06.3′N,141°52.7′E,7 km,4.2,震度５弱
2019/08/04,19:23:03.5,福島県沖,37°42.4′N,141°37.9′E,45 km,6.4,震度５弱
2019/06/18,22:22:19.9,山形県沖,38°36.4′N,139°28.7′E,14 km,6.7,震度６強
2019/05/25,15:20:46.6,千葉県北東部,35°21.4′N,140°17.4′E,38 km,5.1,震度５弱
2019/05/10,08:48:41.6,日向灘,31°48.0′N,131°58.4′E,25 km,6.3,震度５弱
2019/02/21,21:22:40.4,胆振地方中東部,42°45.9′N,142°00.2′E,33 km,5.8,震度６弱
2019/01/26,14:16:33.2,熊本県熊本地方,33°00.9′N,130°34.2′E,10 km,4.3,震度５弱
2019/01/03,18:10:27.6,熊本県熊本地方,33°01.6′N,130°33.2′E,10 km,5.1,震度６弱
2018/10/05,08:58:49.1,胆振地方中東部,42°35.5′N,141°57.9′E,31 km,5.2,震度５弱
2018/09/06,06:11:29.9,胆振地方中東部,42°40.9′N,142°00.7′E,36 km,5.4,震度５弱
2018/09/06,03:07:59.3,胆振地方中東部,42°41.4′N,142°00.4′E,37 km,6.7,震度７
2018/07/07,20:23:48.9,千葉県東方沖,35°09.9′N,140°35.5′E,57 km,6.0,震度５弱
2018/06/18,07:58:34.1,大阪府北部,34°50.6′N,135°37.3′E,13 km,6.1,震度６弱
2018/06/17,15:27:21.8,群馬県南部,36°27.3′N,139°10.3′E,14 km,4.6,震度５弱
2018/05/25,21:13:42.2,長野県北部,36°56.4′N,138°35.3′E,6 km,5.2,震度５強
2018/05/12,10:29:30.0,長野県北部,36°37.9′N,137°54.0′E,11 km,5.2,震度５弱
2018/04/14,04:00:01.8,根室半島南東沖,43°10.5′N,145°44.2′E,53 km,5.4,震度５弱
2018/04/09,01:32:30.8,島根県西部,35°11.0′N,132°35.2′E,12 km,6.1,震度５強
2018/03/01,22:42:26.7,西表島付近,24°14.9′N,123°49.2′E,15 km,5.6,震度５弱
2017/10/06,23:56:40.7,福島県沖,37°05.2′N,141°09.3′E,53 km,5.9,震度５弱
2017/09/08,22:23:18.1,秋田県内陸南部,39°30.0′N,140°25.1′E,9 km,5.2,震度５強
2017/07/11,11:56:35.4,鹿児島湾,31°23.0′N,130°37.2′E,10 km,5.3,震度５強
2017/07/02,00:58:22.7,熊本県阿蘇地方,33°00.2′N,131°14.2′E,11 km,4.5,震度５弱
2017/07/01,23:45:52.9,胆振地方中東部,42°47.2′N,141°51.5′E,27 km,5.1,震度５弱
2017/06/25,07:02:15.3,長野県南部,35°52.0′N,137°35.1′E,7 km,5.6,震度５強
2017/06/20,23:27:41.4,豊後水道,32°52.0′N,132°01.8′E,42 km,5.0,震度５強
2017/02/28,16:49:02.0,福島県沖,37°30.8′N,141°22.0′E,52 km,5.7,震度５弱
2016/12/28,21:38:49.0,茨城県北部,36°43.2′N,140°34.4′E,11 km,6.3,震度６弱
2016/11/22,05:59:46.8,福島県沖,37°21.2′N,141°36.2′E,25 km,7.4,震度５弱
2016/10/21,14:07:22.5,鳥取県中部,35°22.8′N,133°51.3′E,11 km,6.6,震度６弱
2016/09/26,14:19:57.5,沖縄本島近海,27°25.7′N,128°37.2′E,44 km,5.6,震度５弱
2016/08/31,19:46:02.7,熊本県熊本地方,32°43.3′N,130°37.0′E,13 km,5.2,震度５弱
2016/07/27,23:47:17.0,茨城県北部,36°27.0′N,140°36.8′E,57 km,5.4,震度５弱
2016/06/16,14:21:28.2,内浦湾,41°56.9′N,140°59.2′E,11 km,5.3,震度６弱
2016/06/12,22:08:15.0,熊本県熊本地方,32°26.9′N,130°40.8′E,7 km,4.3,震度５弱
2016/05/16,21:23:02.2,茨城県南部,36°02.0′N,139°53.2′E,42 km,5.5,震度５弱
2016/04/29,15:09:34.3,大分県中部,33°15.4′N,131°22.0′E,7 km,4.5,震度５強
2016/04/19,20:47:03.3,熊本県熊本地方,32°34.3′N,130°39.1′E,11 km,5.0,震度５弱
2016/04/19,17:52:13.6,熊本県熊本地方,32°32.1′N,130°38.1′E,10 km,5.5,震度５強
2016/04/18,20:41:57.9,熊本県阿蘇地方,33°00.1′N,131°11.9′E,9 km,5.8,震度５強
2016/04/16,16:02:01.0,熊本県熊本地方,32°41.9′N,130°43.2′E,12 km,5.4,震度５弱
2016/04/16,09:50:06.2,熊本県熊本地方,32°51.1′N,130°49.7′E,15 km,4.5,震度５弱
2016/04/16,09:48:32.6,熊本県熊本地方,32°50.8′N,130°50.1′E,16 km,5.4,震度６弱
2016/04/16,07:23:54.3,熊本県熊本地方,32°47.2′N,130°46.4′E,12 km,4.8,震度５弱
2016/04/16,07:11:37.4,大分県中部,33°16.2′N,131°23.7′E,6 km,5.4,震度５弱
2016/04/16,03:55:53.0,熊本県阿蘇地方,33°01.5′N,131°11.4′E,11 km,5.8,震度６強
2016/04/16,03:09:29.8,熊本県阿蘇地方,32°58.1′N,131°05.2′E,10 km,4.2,震度５弱
2016/04/16,03:03:10.7,熊本県阿蘇地方,32°57.8′N,131°05.2′E,7 km,5.9,震度５強
2016/04/16,01:45:55.4,熊本県熊本地方,32°51.7′N,130°53.9′E,11 km,5.9,震度６弱
2016/04/16,01:44:07.4,熊本県熊本地方,32°45.1′N,130°45.6′E,15 km,5.4,震度５弱
2016/04/16,01:25:05.4,熊本県熊本地方,32°45.2′N,130°45.7′E,12 km,7.3,震度７
2016/04/15,01:53:01.4,熊本県熊本地方,32°42.0′N,130°45.1′E,12 km,4.8,震度５弱
2016/04/15,00:06:21.3,熊本県熊本地方,32°41.7′N,130°45.1′E,11 km,5.0,震度５強
2016/04/15,00:03:46.4,熊本県熊本地方,32°42.0′N,130°46.6′E,7 km,6.4,震度６強
2016/04/14,23:43:41.1,熊本県熊本地方,32°46.0′N,130°49.6′E,14 km,5.1,震度５弱
2016/04/14,22:38:43.5,熊本県熊本地方,32°40.6′N,130°44.1′E,11 km,5.0,震度５弱
2016/04/14,22:07:35.2,熊本県熊本地方,32°46.5′N,130°50.9′E,8 km,5.8,震度６弱
2016/04/14,21:26:34.4,熊本県熊本地方,32°44.5′N,130°48.5′E,11 km,6.5,震度７
2016/01/14,12:25:33.3,浦河沖,41°58.2′N,142°48.0′E,52 km,6.7,震度５弱
2016/01/11,15:26:41.1,青森県三八上北地方,40°23.2′N,141°15.8′E,10 km,4.6,震度５弱
2015/09/12,05:49:07.1,東京湾,35°33.2′N,139°49.7′E,57 km,5.2,震度５弱
2015/07/13,02:52:05.9,大分県南部,32°59.5′N,131°51.3′E,58 km,5.7,震度５強
2015/07/10,03:32:51.2,岩手県内陸北部,40°21.2′N,141°33.5′E,88 km,5.7,震度５弱
